"region","LAT","LON"
"10455",40.8148,-73.90862
"10458",40.86249,-73.88643
"10467",40.87522,-73.872
"11236",40.63951,-73.90098
"10028",40.77643,-73.95339
"11223",40.59711,-73.97344
"11210",40.62801,-73.94631
"10039",40.82631,-73.93752
"10303",40.63223,-74.16903
"11213",40.67117,-73.93632
"11208",40.67481,-73.87243
"10451",40.82097,-73.92383
"10460",40.84273,-73.87891
"11220",40.64142,-74.01741
"11207",40.67016,-73.89383
"11375",40.72315,-73.84373
"10463",40.88841,-73.89905
"10304",40.60671,-74.0931
"11212",40.6629,-73.91308
"11233",40.67827,-73.91994
"11691",40.60152,-73.76173
"10468",40.8681,-73.89985
"11222",40.72862,-73.94764
"10472",40.82968,-73.86942
"11221",40.6914,-73.92764
"10312",40.54489,-74.18084
"11434",40.67683,-73.77623
"10456",40.83064,-73.90812
"11355",40.75143,-73.82125
"11419",40.68863,-73.82302
"11238",40.67105,-73.96636
"11372",40.75172,-73.88367
"10023",40.77464,-73.97836
"11225",40.6631,-73.95392
"10002",40.71597,-73.98692
"10305",40.59592,-74.07539
"10016",40.74515,-73.97807
"10037",40.81302,-73.93776
"10459",40.82572,-73.89295
"10032",40.839,-73.94282
"11432",40.71491,-73.79295
"10453",40.85248,-73.9133
"10457",40.84571,-73.89794
"11228",40.61678,-74.01337
"11201",40.69477,-73.99031
"11226",40.64636,-73.95666
"11422",40.66053,-73.73658
"11209",40.62175,-74.03013
"10004",40.69431,-74.01835
"11356",40.78492,-73.84149
"10026",40.80302,-73.95348
"11109",40.7463,-73.95699
"11217",40.68242,-73.97943
"11692",40.59373,-73.79201
"10024",40.78534,-73.97138
"10452",40.8378,-73.92333
"10033",40.84744,-73.93549
"11693",40.59649,-73.81663
"10473",40.81817,-73.85889
"10030",40.81826,-73.94283
"11416",40.68458,-73.84967
"11420",40.67352,-73.8177
"11206",40.7019,-73.94254
"11368",40.74962,-73.85264
"10019",40.76586,-73.9853
"10475",40.87528,-73.82702
"11229",40.60047,-73.94453
"10031",40.82485,-73.95023
"11423",40.71564,-73.76826
"11216",40.68085,-73.94929
